CPF,Tipo,Pais,Rua,Numero,Bairro,Cidade,Estado,Cep,Complemento Cep
11111111111,R,BRASIL,RUA 11001,1,Bairro ABC,Sao Paulo,SP,058741290
22222222222,P,BRASIL,RUA 22002,17,Bairro DEF,Sao Paulo,SP,028134
33333333333,R,BRASIL,RUA 33003,47,Bairro FGH,Sao Paulo,SP,097345
44444444444,R,BRASIL,RUA 44004,22,Bairro ABC,Sao Paulo,SP,0007654834
55555555555,P,BRASIL,RUA 55005,103,Bairro ABC,Sao Paulo,SP,03453543
66666666666,P,BRASIL,RUA 66006,121,Bairro ABC,Sao Paulo,SP,0453453445
777777777777,R,BRASIL,RUA 77007,341,Bairro ABC,Sao Paulo,SP,0454354
88888888888,R,BRASIL,RUA 11001,1,Bairro DRT,Sao Paulo,SP,0432535
99999999999,R,BRASIL,RUA 11001,2131,Bairro SDF,Sao Paulo,SP,032425
12121212121,R,BRASIL,RUA 11001,1,Bairro FTY,Sao Paulo,SP,0324523
13131313131,R,BRASIL,RUA 9900,1,Bairro ABC,Sao Paulo,SP,058741290
100000000001,R,BRASIL,RUA 11001,1,Bairro ABC,Sao Paulo,SP,034534534
